scope,day_of_week,hour,within_ad_schedule,scheduled_window,Impressions,Clicks,Cost,Conversions
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,17,yes,07:00-20:00,73,2,4.72,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,18,yes,07:00-20:00,58,2,5.18,1.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,19,yes,07:00-20:00,49,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,07,yes,07:00-20:00,25,4,10.06,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,08,yes,07:00-20:00,28,1,2.7041,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,09,yes,07:00-20:00,23,2,4.66,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,10,yes,07:00-20:00,40,3,2.71,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,11,yes,07:00-20:00,33,1,1.65,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,12,yes,07:00-20:00,54,4,7.61,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,13,yes,07:00-20:00,72,3,4.3974,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,14,yes,07:00-20:00,61,3,5.0386,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,15,yes,07:00-20:00,58,3,4.35,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,16,yes,07:00-20:00,58,2,4.95,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,17,yes,07:00-20:00,21,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,18,yes,07:00-20:00,12,1,2.39,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Tuesday,19,yes,07:00-20:00,2,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,07,yes,07:00-20:00,32,4,7.79,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,08,yes,07:00-20:00,15,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,09,yes,07:00-20:00,23,4,9.83,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,10,yes,07:00-20:00,14,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,11,yes,07:00-20:00,11,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,12,yes,07:00-20:00,31,1,1.69,1.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,13,yes,07:00-20:00,45,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,14,yes,07:00-20:00,68,4,4.01,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,15,yes,07:00-20:00,82,2,3.13,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,16,yes,07:00-20:00,84,2,5.66,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,17,yes,07:00-20:00,28,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,18,yes,07:00-20:00,44,3,7.37,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Wednesday,19,yes,07:00-20:00,36,1,2.16,1.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,07,yes,07:00-20:00,20,2,2.26,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,08,yes,07:00-20:00,27,1,1.41,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,09,yes,07:00-20:00,38,1,1.42,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,10,yes,07:00-20:00,44,1,1.57,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,11,yes,07:00-20:00,35,2,3.42,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,12,yes,07:00-20:00,34,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,13,yes,07:00-20:00,47,2,3.78,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,14,yes,07:00-20:00,70,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,15,yes,07:00-20:00,157,3,8.04,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,16,yes,07:00-20:00,21,2,4.79,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,17,yes,07:00-20:00,21,2,6.28,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,18,yes,07:00-20:00,3,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Thursday,19,yes,07:00-20:00,1,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Friday,07,yes,07:00-20:00,27,1,1.42,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Friday,08,yes,07:00-20:00,51,1,2.11,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Friday,09,yes,07:00-20:00,101,1,2.85,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Friday,10,yes,07:00-20:00,42,2,2.74,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Friday,11,yes,07:00-20:00,21,2,2.73,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Friday,12,yes,07:00-20:00,37,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Friday,13,yes,07:00-20:00,90,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Friday,14,yes,07:00-20:00,105,5,10.0,1.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Friday,15,yes,07:00-20:00,26,3,8.67,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Friday,16,yes,07:00-20:00,16,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Friday,17,yes,07:00-20:00,28,3,7.29,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Friday,18,yes,07:00-20:00,9,1,1.18,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Saturday,07,yes,07:00-14:00,41,2,5.09,0.0
